tanglish,tamil
nambigai tan elaam,நம்பிக்கை தான் எல்லாம்.
raizhway sdadioon epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla yeelarum ebdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
captheeon naalaa irugu,கேப்ஷன் நல்லா இருக்கு.
waazhkaaiyizh wethri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
veepe nalla irrookoo,வைப் நல்லா இருக்கு.
wazhkaeeyeezh wedri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
bus staand enkaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
slass yeppo yarampam,வகுப்பு எப்போ ஆரம்பம்?
pali goodam bonom,பள்ளி கூடம் போனோம்.
weedu wezhaai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
railway sdadeeon yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellaroom yepdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus sthand yeenga irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
solleegee eebbo muteeyum,கல்லூரி எப்போ முடியும்?
projeest reeady baanraa,புராஜெக்ட் ரெடி பண்றா.
projeecth rready banra,புராஜெக்ட் ரெடி பண்றா.
coommenth baanungaa makkale,கமெண்ட் பண்ணுங்க மக்களே.
rromba kavalaeeya eerruku,ரொம்ப கவலையா இருக்கு.
pus stant yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
hosbitaal poonoom,ஆஸ்பத்திரி போனோம்.
commend banunga maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
freeendu caazhzh paanraan,பிரெண்டு கால் பண்றான்.
trendink witeoo adhoo,டிரெண்டிங் வீடியோ அது.
iniku naalaa nal,இன்னைக்கு நல்ல நாள்.
aappaa eeppo varranka,அப்பா எப்போ வர்றாங்க?
veethla yellarrum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos sdaand engaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veeeetzha yellaarrum yepdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos stant yeenga eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
commeend banoonga maaggaale,கமெண்ட் பண்ணுங்க மக்களே.
inikoo vezhaee eerruku,இன்னைக்கு வேலை இருக்கு.
czhass eppo yaaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
veebe naallaa iroogoo,வைப் நல்லா இருக்கு.
raailwaay sdadion eeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdhadhioon yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sthand yenkaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
boos sthand enkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raailwaay sdhadhion yepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eeneeku semaa vibe,இன்னைக்கு செம வைப்.
bus staant enka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yaaaamaa yadhoo tan,ஆமா அது தான்.
coleegee yeeppo mutiyum,கல்லூரி எப்போ முடியும்?
trendink viteeo atoo,டிரெண்டிங் வீடியோ அது.
nambeegaee dhaan eelam,நம்பிக்கை தான் எல்லாம்.
veethlaa yellarrum yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
uyir nala vazhum,உயிர் நல்லா வாழும்.
veetzha yelaarum ebdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
wethu wezhaee mutinjaatu,வீட்டு வேலை முடிஞ்சது.
slaass eeppo aarambam,வகுப்பு எப்போ ஆரம்பம்?
cozhzhege eebbo moodiyoom,கல்லூரி எப்போ முடியும்?
pus stant yengaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yoooorugu boriya,ஊருக்கு போறியா?
veepe nala irruku,வைப் நல்லா இருக்கு.
raailwaay staation epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yeepti irooga,எப்படி இருக்க?
boos staand yenka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
sarree aabbraam paarrkalam,சரி அப்புறம் பார்க்கலாம்.
commeend panunka maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
yexam sema dhooogh,தேர்வு செம கடினம்.
raaizhwaay sdadion epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
innikoo nala naazh,இன்னைக்கு நல்ல நாள்.
veethlaa yellarrum eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway staation yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla yellarroom yeepti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
coommenth banoonga maaggaale,கமெண்ட் பண்ணுங்க மக்களே.
raeezhway stateeon yepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
ooyirr nazhzha vaalum,உயிர் நல்லா வாழும்.
boos sdhaand enkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raizhway sdhaadhion yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway sdadioon yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla yellaroom yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
comment banoonga maakkaazhe,கமெண்ட் பண்ணுங்க மக்களே.
veethlaa ellarrum epti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
class eebbo yaaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
pus sdaand enkaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veetzha yellarrum epdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
inikoo veezhai irrookoo,இன்னைக்கு வேலை இருக்கு.
kaaaasu illa,காசு இல்ல.
aabbaa yeeppo varanga,அப்பா எப்போ வர்றாங்க?
yanavee kubidu,அண்ணாவை கூப்பிடு.
eenneegu seema weebe,இன்னைக்கு செம வைப்.
weettugu yepoo waarraa,வீட்டுக்கு எப்போ வர?
raeezhway sdadion yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
naambigaai taan ellaam,நம்பிக்கை தான் எல்லாம்.
rraailwaay sdhadhioon eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
balli kootaam ponom,பள்ளி கூடம் போனோம்.
veetzha ellarrum eebdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos staant yeenka irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veetzha ezhzharoom yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
naanbaa epdi eeruka,நண்பா எப்படி இருக்க?
balli gudam poonoom,பள்ளி கூடம் போனோம்.
veetzha ezhzharoom epti irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weetlaa ellarrum ebdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
waazhkaaiyizh weedhri beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
dhroogam seeyyadhee,துரோகம் செய்யாதே.
railway staation epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus sthand enkaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rroomba sandhosam,ரொம்ப சந்தோஷம்.
taangaachi enga ponaa,தங்கச்சி எங்க போன?
projeect reaady panra,புராஜெக்ட் ரெடி பண்றா.
veethlaa ezhzharoom yeptee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
needhhu eenga poona,நேத்து எங்க போன?
veethlaa ellarrum epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nambeekaee dhan yeellam,நம்பிக்கை தான் எல்லாம்.
pus sthand enkaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
waaaataa maasaan,வாடா மச்சான்
